AP_XC_4_Team_Race,Big Ten,ACC,SEC,Big 12,Pac-10,Big East,WAC,CUSA,FBS Indep.,MAC,Big West
Preseason,39,58.5,41,52.5,57,,,,,,
Week 2,40,,33,43,52,,,,,,
Week 3,50.0,,27,40,47,,,,,,
Week 4,,,31,39,46,,,,,,
Week 5,46,,29,40,55,,,,,,
Week 6,,,28,39,47,,,,,,
Week 7,,64.5,38,41,55.5,,,,,,
Week 8,,,34,36,,,,,,,
Week 9,42,,34,37,,83,,,,,
Week 10,40,,37,43,,82.5,,,,,
Week 11,49,,32,32,,,,,,,
Week 12,47,78.5,28,44,54,98,,,,,
Week 13,53,,34,46,,,,,,,
Week 14,50,,38,45,,,,,,,
Week 15,49,,38,46,,,,,,,
Week 16,,,,,,,,,,,
Final,37,,36,55,74.5,99,,,,,
