AP_XC_5_Team_Race,ACC,SEC,Big Ten,Pac-10,Big 12,Big East,FBS Indep.,Mountain West,MAC,CUSA,WAC
Preseason,117,63.5,53,103,65.5,,,,,,
Week 2,,57,53,,70,,,,,,
Week 3,,55,50,,,,,,,,
Week 4,,50.5,45,,,,,,,,
Week 5,,58,50,,,,,,,,
Week 6,105,56,43,148,62,,,,,,
Week 7,,50,53,,76,,,,,,
Week 8,,50,52,,,,,,,,
Week 9,,47,55,,,,,,,,
Week 10,,41.5,65,,72.5,,,,,,
Week 11,,43,64,,73,,,,,,
Week 12,,40,68,,,,,,,,
Week 13,,46,60,,,,,,,,
Week 14,,52,53,,,,,,,,
Week 15,,55,50,,,,,,,,
Week 16,,57,46,,,,,,,,
Final,,58,45,,81,,,,,,
