AP_XC_4_Team_Race,Big 12,ACC,SEC,Big Ten,Big East,Pac-10,WAC,CUSA,Mountain West,FBS Indep.,MAC,Big West
Preseason,35,92,34,40,99,84,,,,,,
Week 2,35,,35,41,,,,,,,,
Week 3,34,,42,40,,,,,,,,
Week 4,31,,55,37,,,,,,,,
Week 5,37,,60,50,,,,,,,,
Week 6,33,,56,56,,49,,,,,,
Week 7,27,,66,60,,56,,,,,,
Week 8,36,,58,62,,55,,,,,,
Week 9,41,,51,69,,56,,,,,,
Week 10,36,,58,66,,58,,,,,,
Week 11,45,,63,60,,,,,,,,
Week 12,40,79,55,54,,,,,,,,
Week 13,30,,66,71,,,,,,,,
Week 14,31,,66,71,,,,,,,,
Week 15,31,,70,69,,,,,,,,
Week 16,33,,72,68,,,,,,,,
Final,30,72,67,75,82.5,,,,,,,
