AP_XC_4_Team_Race,SEC,Big East,Big 12,ACC,Pac-10,Big Ten,FBS Indep.,Mountain West,CUSA,MAC,WAC
Preseason,43,92,25,83,50,73,,,146,,
Week 2,43,,25,,49,73,,,,,
Week 3,41,,24,,58,74,,,,,
Week 4,42,,24,,56,,,,,,
Week 5,38,,23,,50,78,,,,,
Week 6,39,,24,77,49,78,,,,,
Week 7,42,,38,67,45,76,,,,,
Week 8,51,,28,69,43,,,,,,
Week 9,42,,37,73,42,,,,,,
Week 10,46,,34,74,38,,,,,,
Week 11,43,,31,,42,,,,,,
Week 12,49,,25,,45,,,,,,
Week 13,47,64,25,,46,,,,,,
Week 14,38,,29,,48,,,,,,
Week 15,38,,30,,48,,,,,,
Week 16,39,,26,,47,,,,,,
Final,27,54,28,80,47,92,,,,,
