AP_XC_5_Team_Race,Big East,Big 12,ACC,SEC,Pac-10,Big Ten,CUSA,MAC,Mountain West,WAC,FBS Indep.,Sun Belt
Preseason,,46,122,55,86,92,,,,,,
Week 2,,43.5,,54,,91,,,,,,
Week 3,,51,,66,,83,,,,,,
Week 4,,52,,76,77,,,,,,,
Week 5,,63,,,69,83,,,,,,
Week 6,,59,,,79,,,,,,,
Week 7,,56,,66,,82,,,,,,
Week 8,,,,74,,73,,,,,,
Week 9,,59,,80,,77,,,,,,
Week 10,,67,,76,88,68,,,,,,
Week 11,,58,,,,73,,,,,,
Week 12,,56,,84,,67,,,,,,
Week 13,,64.0,,75,,,,,,,,
Week 14,,65,,,,,,,,,,
Week 15,,61,,72,,,,,,,,
Week 16,,,,80,,,,,,,,
Final,93,65,,85,,67,,,,,,
