AP_XC_4_Team_Race,Big 12,Big Ten,Big East,SEC,Pac-10,ACC,FBS Indep.,Mountain West,CUSA,MAC,WAC
Preseason,37,46,,43,75,62,,,,,
Week 2,37,41,,50,72,68,,,,,
Week 3,31,45,68,52,73,84,,,,,
Week 4,35,51,57,44,61,106,,,,,
Week 5,46,50,,36,52,95,,,,111,
Week 6,42,55,61,32,61,100,,,,115,
Week 7,44,52.5,,34,76,,,,,,
Week 8,62,44,70,44,72,,,,,,
Week 9,52,42,69,51,80.5,,,,,,
Week 10,43,41,,50,,,,,,,
Week 11,52,39,64,48,78,,,,,,
Week 12,51,39,77,34,,,,,,,
Week 13,50,42,71.5,31.5,,118,,,,,
Week 14,44,37,75,26,,,,,,,
Week 15,42,35,89,31,,98,,,,,
Week 16,37,36,88,35,,97,,,,,
Final,48,36,106,37,,78,,,,,
