AP_XC_4_Team_Race,Pac-10,Big 12,SEC,ACC,Big Ten,Big East,Mountain West,CUSA,WAC,FBS Indep.,Sun Belt,MAC
Preseason,55,,32,42,55,,,,,,,
Week 2,68,41,34,44,54,,,125,,,,
Week 3,,61,32,45,60,,,118,,,,
Week 4,72,61,36,47,59,,,,,,,
Week 5,64.5,60,34.5,49,59,,,,,,,
Week 6,59,57,38,45,51,,,,,,,
Week 7,52,50,49,42.5,48,,,,,,,
Week 8,61,49,42,46,56,,,112.5,,,,
Week 9,69.0,46.5,43,44,58,,,,,,,
Week 10,59,49,37,54,64,,,,,,,
Week 11,60,55,43,55,61,,,,,,,
Week 12,58,53.5,43.0,55.5,63,,,,,,,
Week 13,,53,40,55,72,,,,,,,
Week 14,,54,39,53,68,104,,,,,,142
Week 15,,53,38,58,64,105,,,,,,
Week 16,,53,38,58,64,104,,,,,,
Final,,54,38,59,59,108,,,,,,
