AP_XC_4_Team_Race,Pac-10,Big 12,SEC,Big Ten,ACC,Big East,WAC,Mountain West,FBS Indep.,MAC,CUSA
Preseason,70,47,31,36,53,,,,,,
Week 2,63,68,30,28,49,,,,,,
Week 3,62,66,21,57,41,,,,,,
Week 4,56,,25,50,37,,,,,,
Week 5,47,69,26,54,37,,,,,,
Week 6,48,71,31,55,34,,,,,,
Week 7,51,68,32,61,28,,,,,,
Week 8,49,68,32,67,33,,,,,,
Week 9,46,72,34,58,36,,,,,,
Week 10,52,66,30,56,52,,,,,,
Week 11,,78,37,56,55,,,,,,
Week 12,34,66,39,51,56,,,,,,
Week 13,,78,37,56,55,,,,,,
Week 14,55,75,39,57,56,,,,,,
Week 15,,,39,51,56,,,,,,
Week 16,55,80,38,48,62,,,,,,
Final,55.5,67,36.5,48,63,,,,,,
