AP_XC_4_Team_Race,Big Ten,FBS Indep.,Big 12,SEC,Big East,Pac-10,ACC,Mountain West,WAC,CUSA,MAC
Preseason,50,,58,34,,60,58,,,,
Week 2,44,,62,30.5,89,70,60,,,,
Week 3,53,,66,26,81,65,63,,,,
Week 4,45,,79,26,,59,68,,,,
Week 5,49,,69,26,,65,72,,,,
Week 6,56,,66,26,71,58,71,,,,
Week 7,45,,69,35,68,60,73,,,,
Week 8,52,,65,38,55,,72,,,,
Week 9,54,,66,37,57,73,73,,,,
Week 10,52,,71,33,56,68,77,,,,
Week 11,,,71,34,,63,79,,,,
Week 12,,,79,32,,,71,,,,
Week 13,42,,75,32,,88,71,,,,
Week 14,40.5,,67.0,28.5,63.5,,78,,,,
Week 15,40,,68,28,65,87,79,,,,
Week 16,,,,,,,,,,,
Final,41,,81,28,57,,85,,,,
