AP_XC_4_Team_Race,Pac-10,SEC,Big East,Big 12,Big Ten,ACC,Mountain West,WAC,CUSA,FBS Indep.,Southern,Sun Belt,MVC
Preseason,56,36,64,57,40,83,,,,,,,
Week 2,53,34,61,51.5,63.5,81,,,,,,,
Week 3,39,40,52,48,65,74,,,,,,,
Week 4,48,33,57,55,60,73,,,,,,,
Week 5,41,35,57,55,64,69,,,,,,,
Week 6,37,29,60,70,60,70,,,,,,,
Week 7,35,38,60,60,67,70,,,,,,,
Week 8,42,33,66,54.0,79,74,,,,,,,
Week 9,39.5,41.5,71,46,75,59,,,,,,,
Week 10,50,48,82,36,72,59.5,,,,,,,
Week 11,48.5,47,81,31,74,62,,,,,,,
Week 12,52,42,80,25,74,59,,,,,,,
Week 13,59,38,75,28,74,60,,,,,,,
Week 14,72,33,75,34,67,56,,,,,,,
Week 15,77,31,82,35,63,55,,,,,,,
Week 16,,,,,,,,,,,,,
Final,67,28,94,29.5,67,66.5,,,,,,,
