AP_XC_4_Team_Race,SEC,Big Ten,Pac-10,Big 12,Big East,ACC,Mountain West,WAC,CUSA,FBS Indep.,MAC,Sun Belt
Preseason,23,57,67,33,82,80,,,,,,
Week 2,23,57.5,57.5,32,92,105.0,,,,,,
Week 3,22,56,55,29,,106,,,,,,
Week 4,22,59,90,25,,96,,,,,,
Week 5,20,57,,25,,97,,,,,,
Week 6,28,65,111,17,,105,,,,,,
Week 7,27,67,112,16,,93,,,,,,
Week 8,30,63,,20,,85,,,,,,
Week 9,27,65,111,20,,94,,,,,,
Week 10,30,58,92,20,109,93,79,,,,,
Week 11,34,59,94,21,108,88,72,,,,,
Week 12,36,70,85,22,117,93,67,,,,,
Week 13,35,61,89,22,111,96,75,,,,,
Week 14,41,62,71,25,104,99.5,,,,,,
Week 15,42,61,76,29,99,89,,,,,,
Week 16,41,57,75,26,95,90,,,,,,
Final,34,61,57,37,108,89,,,,,,
