AP_XC_5_Team_Race,SEC,Big 12,Pac-10,Big Ten,ACC,WAC,Mountain West,FBS Indep.,Big East,CUSA,MAC,Sun Belt,Other
Preseason,38,63.5,96,93.5,95,,,,169,,,,
Week 2,43,66,110,125,98,,122,,,,,,
Week 3,42.5,71,107,118.5,106,,,,,,,,
Week 4,36,73,104,,87,,,,,,,,
Week 5,47.5,65.5,111,91,,,,,,,,,
Week 6,45,73,,92,,,,,,,,,
Week 7,62,71,128,97,,,,,,,,,
Week 8,62,87,116,107,,,,,,,,,
Week 9,57,99,,,,,,,,,,,
Week 10,76,,97,,107,,,,105,,,,
Week 11,71,116,94,,,,,,96,,,,
Week 12,76,115,95,,88,,,,,,,,
Week 13,74,113,97,94,78,,,,128,,,,
Week 14,81,109,82,85,98,,,,,,,,
Week 15,88,106,93,83,100,,,,,,,,
Week 16,,,,,,,,,,,,,
Final,73,93,124,80,100,,,,115,,,,
