AP_XC_5_Team_Race,SEC,Big Ten,WAC,Big 12,Mountain West,ACC,Pac-10,Big East,CUSA,FBS Indep.,MAC,Sun Belt,Other
Preseason,65,,,90,,77,112,,,,,,
Week 2,63,66,,91,,87,109,,,,,,
Week 3,51,64,,87,,146,91,,,,,,
Week 4,47,75,,84,,149,79,,,,,,
Week 5,45,71,,93,,137,78,,,,,,
Week 6,46,72,,86,,,87,,,,,,
Week 7,46,73,,83,,135,91,,,,,,
Week 8,58,73,,74,,127,88,,,,,,
Week 9,57,70,,77,,134,87,,,,,,
Week 10,55,78,,75,,131,82,,,,,,
Week 11,49,66,,83,,,,,,,,,
Week 12,47,72,,70,,129,,,,,,,
Week 13,47,84,,72,,,95,,,,,,
Week 14,56,,,73,,,,,,,,,
Week 15,54,,,74,,,,,,,,,
Week 16,,,,,,,,,,,,,
Final,46,,,76,129,,,,,,,,
