AP_XC_5_Team_Race,Big 12,SEC,Pac-12,Mountain West,ACC,Big Ten,FBS Indep.,Big East,CUSA,WAC,MAC,Sun Belt,Other
Preseason,65,52,93,,125,83,,,,,,,
Week 2,58,47,108,,,73,,,,,,,
Week 3,60.5,45,103,,,76,,,,,,,
Week 4,52,46,105,,99,87,,,,,,,
Week 5,53,44,107,,,84,,,,,,,
Week 6,64,45,100,,,75,,,,,,,
Week 7,67,52,92,,105,68,,,,,,,
Week 8,67,46,90.5,,,73,,,,,,,
Week 9,59,47,83,,,72,,,,,,,
Week 10,84,39,79,,,72,,,,,,,
Week 11,80,42,85,,104,82,,,,,,,
Week 12,79,37,97,,93,85,,,,,,,
Week 13,86,33,,,,85.5,,,,,,,
Week 14,78,35,,,114,86,,,,,,,
Week 15,80,38,,,119,79,,,,,,,
Week 16,,,,,,,,,,,,,
Final,76,36,,,,89,,,,,,,
