AP_XC_5_Team_Race,Pac-12,SEC,Big 12,ACC,Big Ten,Mountain West,Big East,FBS Indep.,CUSA,WAC,MAC,Sun Belt,Other
Preseason,84,30,69,97,68,,,,,,,,
Week 2,94,28,70,95,73,,,,,,,,
Week 3,73,37,59.5,106.0,98.5,,,,,,,,
Week 4,66,29,58,,108,,,,,,,,
Week 5,68,26,59,,110,,,,,,,,
Week 6,70,26,58.5,,117,,,,,,,,
Week 7,71.5,31,66,145.0,137.5,,,,,,,,
Week 8,69,32,76,136.0,128.0,,,,,,,,
Week 9,72.5,35,79,,118,,,,,,,,
Week 10,72,32,88,,133.5,,,,,,,,
Week 11,69,34.5,90.5,,117.5,,,,,,,,
Week 12,68,33,82.5,,114.5,,,,,,,,
Week 13,75.0,28,100.5,,104.5,,,,,,,,
Week 14,81,29,94,,90,,,,,,,,
Week 15,82,31,114.0,,92,,,,,,,,
Week 16,,,,,,,,,,,,,
Final,,29.0,101,,96,,,,,,,,
