AP_XC_4_Team_Race,SEC,Big Ten,Pac-12,ACC,American,Big 12,FBS Indep.,Mountain West,MAC,Sun Belt,CUSA,Other
Preseason,19,59,52,76,148.0,64,,137.5,183.5,,,
Week 2,23,60,45,73,,67,,161.0,,,,
Week 3,24,52,42,59,,72,,,,,,
Week 4,26,61,37,57,,70,,,,,,
Week 5,26,62,36,53,,68,,,,,,
Week 6,26,67,34,50,110.5,69,,,,,,
Week 7,27,69,34,46,,69,,,,,,
Week 8,25,82,44,37,113,67,,,,,,
Week 9,30,75,48,35,119.0,52,,,,,,
Week 10,30,73,50,50,,51,,,,,,
Week 11,27,74,47,60,,57,,,,,,
Week 12,27,61,45,63,110.0,61,,,,,,
Week 13,24,59,48,69.0,,64,,,,,,
Week 14,20,58.5,55,69.5,,63.5,,,,,,
Week 15,20,63,47,62.5,,56,,,,,,
Week 16,22,58,48,64,,61,,,,,,
Final,18,63,55,74.5,,66,,,,,,
