"('ACC', 69)","('SEC', 29)","('Pac-12', 36)","('Big 12', 62)","('Big Ten', 49)","('FBS Indep.', 'DNS')","('American', 'DNS')","('CUSA', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')"
"('FSU', 1)","('Alabama', 2)","('Oregon', 3)","('Oklahoma', 4)","('OSU', 5)","('Notre Dame', 17)","('UCF', 26)","('Marshall', 32)","('Boise State', 41.5)","('Louisiana', 49.0)"
"('Clemson', 16)","('Auburn', 6)","('UCLA', 7)","('Baylor', 10)","('Michigan State', 8)","('BYU', 43.5)","('Cincinnati', 40)",,"('Nevada', 49.0)",
"('UNC', 23)","('South Carolina', 9)","('Stanford', 11)","('Kansas State', 20)","('Wisconsin', 14)","('Navy', 46.5)",,,"('Utah State', 49.0)",
"('Duke', 29)","('Georgia', 12)","('USC', 15)","('Texas', 28)","('Nebraska', 22)",,,,,
"('Louisville', 31)","('LSU', 13)","('Arizona State', 19)","('Oklahoma State', 33)","('Iowa', 30)",,,,,
"('VT', 34)","('Ole Miss', 18)","('Washington', 25)","('TCU', 35)","('Michigan', 37.5)",,,,,
"('Miami', 39)","('Texas A&M', 21)","('Oregon State', 41.5)","('Texas Tech', 37.5)","('Northwestern', 43.5)",,,,,
,"('Missouri', 24)",,,"('Penn State', 45)",,,,,
,"('Florida', 27)",,,,,,,,
,"('Miss St', 36)",,,,,,,,
,"('Vanderbilt', 46.5)",,,,,,,,
