"('ACC', 62)","('Pac-12', 38)","('SEC', 21)","('Big 12', 59)","('FBS Indep.', 'DNS')","('Big Ten', 79)","('CUSA', 'DNS')","('American', 'DNS')","('MVFC', 'DNS')"
"('FSU', 1)","('Oregon', 2)","('Alabama', 3)","('Oklahoma', 4)","('Notre Dame', 11)","('Michigan State', 13)","('Marshall', 34)","('Cincinnati', 37.5)","('North Dakota St', 41.0)"
"('VT', 17)","('USC', 9)","('Auburn', 5)","('Baylor', 8)","('BYU', 25)","('Wisconsin', 18)",,,
"('Louisville', 21)","('UCLA', 12)","('Georgia', 6)","('Kansas State', 19)",,"('OSU', 22)",,,
"('Clemson', 23)","('Stanford', 15)","('Texas A&M', 7)","('Oklahoma State', 28)",,"('Nebraska', 26)",,,
"('UNC', 27)","('Arizona State', 16)","('LSU', 10)","('TCU', 32)",,"('Penn State', 31)",,,
"('Duke', 30)","('Washington', 39)","('Ole Miss', 14)","('West Virginia', 37.5)",,"('Iowa', 36)",,,
"('Pitt', 41.0)","('Utah', 43)","('Missouri', 20)","('Texas Tech', 41.0)",,,,,
,"('Arizona', 44)","('South Carolina', 24)",,,,,,
,,"('Florida', 29)",,,,,,
,,"('Miss St', 33)",,,,,,
,,"('Tennessee', 35)",,,,,,
