"('ACC', 88)","('Pac-12', 44)","('SEC', 24)","('Big 12', 60)","('FBS Indep.', 'DNS')","('Big Ten', 71)","('American', 'DNS')","('CUSA', 'DNS')","('MVFC', 'DNS')"
"('FSU', 1)","('Oregon', 2)","('Alabama', 3)","('Oklahoma', 4)","('Notre Dame', 8)","('Michigan State', 9)","('ECU', 23)","('Marshall', 30)","('North Dakota St', 41)"
"('Duke', 26)","('UCLA', 11)","('Auburn', 5)","('Baylor', 7)","('BYU', 20)","('Wisconsin', 19)","('Cincinnati', 36)",,
"('Clemson', 28)","('Arizona State', 15)","('Texas A&M', 6)","('Oklahoma State', 24)",,"('Nebraska', 21)",,,
"('Georgia Tech', 33)","('Stanford', 16)","('Ole Miss', 10)","('Kansas State', 25)",,"('OSU', 22)",,,
"('Boston College', 34)","('USC', 18)","('Georgia', 12)","('TCU', 29)",,"('Penn State', 27)",,,
"('Pitt', 42.5)","('Utah', 31)","('South Carolina', 13)","('West Virginia', 35)",,"('Indiana', 42.5)",,,
,"('Washington', 32)","('Miss St', 14)",,,,,,
,"('Arizona', 37.5)","('LSU', 17)",,,,,,
,"('Oregon State', 39.5)","('Arkansas', 37.5)",,,,,,
,,"('Missouri', 39.5)",,,,,,
