"('ACC', 78)","('SEC', 16.0)","('Big 12', 41)","('FBS Indep.', 'DNS')","('Big Ten', 78)","('Pac-12', 60)","('American', 'DNS')","('CUSA', 'DNS')","('MVFC', 'DNS')"
"('FSU', 1)","('Auburn', 2)","('Baylor', 5)","('Notre Dame', 6)","('Michigan State', 8)","('Arizona', 10)","('ECU', 19)","('Marshall', 27)","('North Dakota St', 39)"
"('Georgia Tech', 22)","('Miss St', 3.5)","('TCU', 9)","('BYU', 31)","('OSU', 15)","('Oregon', 12)",,,
"('Clemson', 26)","('Ole Miss', 3.5)","('Oklahoma', 11)",,"('Nebraska', 21)","('UCLA', 18)",,,
"('Louisville', 29)","('Alabama', 7)","('Oklahoma State', 16)",,"('Wisconsin', 34)","('Arizona State', 20)",,,
"('UVA', 41.5)","('Georgia', 13)","('Kansas State', 17)",,"('Penn State', 36)","('Utah', 24)",,,
,"('Texas A&M', 14)","('West Virginia', 32)",,"('Rutgers', 37.5)","('Stanford', 25)",,,
,"('Missouri', 23)",,,"('Minnesota', 40)","('USC', 28)",,,
,"('LSU', 30)",,,,"('Cal', 35)",,,
,"('Arkansas', 33)",,,,,,,
,"('Kentucky', 37.5)",,,,,,,
,"('South Carolina', 41.5)",,,,,,,
