AP_XC_5_Team_Race,ACC,SEC,Pac-12,Big 12,Big Ten,FBS Indep.,American,CUSA,Mountain West,Sun Belt,MVFC,MAC
Preseason,100.0,42.0,55.0,95.0,79.0,,,,,,,
Week 2,98.5,34.0,58.0,87.0,82.0,,,,,,,
Week 3,89.0,31.0,54.0,91.0,110.0,,,,,,,
Week 4,105.5,32.0,62.0,88.0,107.0,,,,,,,
Week 5,122.0,36.0,62.0,89.0,98.0,,,,,,,
Week 6,133.5,37.0,66.0,80.0,100.0,,,,,,,
Week 7,119.5,29.0,84.0,58.0,114.0,,,,,,,
Week 8,122.5,27.0,84.0,56.0,105.0,,,,,,,
Week 9,,22.0,74.0,72.0,98.5,,,,,,,
Week 10,,24.0,77.0,72.0,,,,,,,,
Week 11,102.0,34.0,75.0,65.0,,,,,,,,
Week 12,94.0,40.0,66.0,82.0,83.0,,,,,,,
Week 13,98.5,39.0,62.0,78.0,83.0,,,,,,,
Week 14,94.0,46.0,65.5,75.5,81.5,,,,,,,
Week 15,82.5,53.0,68.0,69.5,76.0,,,,,,,
Week 16,80.0,47.0,67.0,83.5,80.0,,,,,,,
Final,82.5,55.0,63.0,,81.5,,,,,,,
