"('ACC', 98.5)","('SEC', 34)","('Pac-12', 58)","('Big 12', 87)","('Big Ten', 82.0)","('FBS Indep.', 'DNS')","('CUSA', 'DNS')","('American', 'DNS')","('MVFC', 'DNS')","('Sun Belt', 'DNS')"
"('FSU', 1)","('Alabama', 2)","('Oregon', 3)","('Oklahoma', 4)","('Michigan State', 7)","('Notre Dame', 16)","('Marshall', 36.5)","('Cincinnati', 40)","('North Dakota St', 45)","('Louisiana', 46.5)"
"('UNC', 21.5)","('Auburn', 5)","('UCLA', 11)","('Baylor', 10)","('OSU', 8)","('BYU', 35)",,,,
"('Clemson', 23)","('Georgia', 6)","('Stanford', 13)","('Kansas State', 20)","('Wisconsin', 18)",,,,,
"('Louisville', 25)","('Texas A&M', 9)","('USC', 14)","('Texas', 26)","('Nebraska', 19)",,,,,
"('Duke', 28)","('LSU', 12)","('Arizona State', 17)","('Oklahoma State', 27)","('Penn State', 30.0)",,,,,
"('VT', 38)","('Ole Miss', 15)","('Washington', 34)","('TCU', 33)","('Michigan', 32)",,,,,
"('Pitt', 46.5)","('South Carolina', 21.5)","('Arizona', 44)","('Texas Tech', 41.5)","('Iowa', 36.5)",,,,,
,"('Missouri', 24)",,"('West Virginia', 41.5)","('Rutgers', 43)",,,,,
,"('Miss St', 30.0)",,,,,,,,
,"('Florida', 30.0)",,,,,,,,
,"('Tennessee', 39)",,,,,,,,
