"('ACC', 105.5)","('Pac-12', 62)","('SEC', 32)","('Big 12', 88)","('FBS Indep.', 'DNS')","('Big Ten', 107)","('American', 'DNS')","('CUSA', 'DNS')","('MVFC', 'DNS')"
"('FSU', 1)","('Oregon', 2)","('Alabama', 3)","('Oklahoma', 4)","('Notre Dame', 9)","('Michigan State', 11)","('ECU', 31)","('Marshall', 35)","('North Dakota St', 42.0)"
"('Clemson', 22)","('UCLA', 12)","('Auburn', 5)","('Baylor', 7)","('BYU', 21)","('Wisconsin', 19)","('Cincinnati', 39)",,
"('UNC', 26)","('Arizona State', 15)","('Texas A&M', 6)","('Kansas State', 20)",,"('OSU', 23)",,,
"('Duke', 27.5)","('Stanford', 16)","('LSU', 8)","('Oklahoma State', 25)",,"('Nebraska', 24)",,,
"('VT', 29)","('USC', 17)","('Ole Miss', 10)","('TCU', 32)",,"('Penn State', 30)",,,
"('Pitt', 33)","('Washington', 37.5)","('Georgia', 13)","('West Virginia', 37.5)",,,,,
"('Boston College', 36)","('Arizona', 42.0)","('South Carolina', 14)",,,,,,
"('UVA', 40)",,"('Missouri', 18)",,,,,,
"('Louisville', 44)",,"('Miss St', 27.5)",,,,,,
,,"('Florida', 34)",,,,,,
,,"('Arkansas', 42.0)",,,,,,
