"('SEC', 27)","('ACC', 122.5)","('Big 12', 56)","('FBS Indep.', 'DNS')","('Big Ten', 105.0)","('Pac-12', 84)","('American', 'DNS')","('CUSA', 'DNS')","('MVFC', 'DNS')","('Mountain West', 'DNS')"
"('Miss St', 1)","('FSU', 2)","('Baylor', 4)","('Notre Dame', 5)","('Michigan State', 8)","('Oregon', 9)","('ECU', 18)","('Marshall', 25)","('North Dakota St', 38.5)","('Colorado State', 38.5)"
"('Ole Miss', 3)","('Clemson', 24)","('Oklahoma', 11)",,"('OSU', 13)","('Arizona', 16)",,,,
"('Auburn', 6)","('Duke', 28)","('TCU', 12)",,"('Nebraska', 19)","('Arizona State', 17)",,,,
"('Alabama', 7)","('Georgia Tech', 33)","('Kansas State', 14)",,"('Minnesota', 29.5)","('Utah', 20)",,,,
"('Georgia', 10)","('Louisville', 35.5)","('Oklahoma State', 15)",,"('Rutgers', 35.5)","('USC', 22)",,,,
"('Texas A&M', 21)","('UVA', 41.0)","('West Virginia', 31)",,"('Iowa', 37)","('Stanford', 23)",,,,
"('LSU', 27)",,,,"('Wisconsin', 41.0)","('UCLA', 26)",,,,
"('Kentucky', 29.5)",,,,,"('Washington', 32)",,,,
"('Arkansas', 34)",,,,,,,,,
"('South Carolina', 41.0)",,,,,,,,,
