"('Big Ten', 52)","('SEC', 37)","('Big 12', 49)","('Pac-12', 48)","('FBS Indep.', 'DNS')","('ACC', 69)","('American', 'DNS')","('MAC', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')"
"('OSU', 1)","('Alabama', 2)","('TCU', 3)","('USC', 6)","('Notre Dame', 8)","('FSU', 9)","('Temple', 26)","('Toledo', 30)","('Boise State', 33.5)","('W Kentucky', 43.5)"
"('Michigan State', 4)","('Georgia', 7)","('Baylor', 5)","('UCLA', 10)","('BYU', 19)","('Clemson', 11)","('Houston', 33.5)",,,
"('Northwestern', 23)","('LSU', 13)","('Oklahoma', 16)","('Oregon', 12)",,"('Georgia Tech', 14)",,,,
"('Wisconsin', 24)","('Ole Miss', 15)","('Oklahoma State', 25)","('Arizona', 20)",,"('NC State', 35)",,,,
"('Minnesota', 37)","('Texas A&M', 17)","('West Virginia', 27)","('Utah', 21)",,"('Miami', 41.5)",,,,
"('Iowa', 39.5)","('Auburn', 18)","('Kansas State', 31)","('Arizona State', 32)",,"('VT', 43.5)",,,,
,"('Missouri', 22)",,"('Cal', 39.5)",,"('Duke', 45)",,,,
,"('Miss St', 28)",,"('Stanford', 41.5)",,,,,,
,"('Tennessee', 29)",,,,,,,,
,"('Florida', 36)",,,,,,,,
,"('Arkansas', 38)",,,,,,,,
