AP_XC_5_Team_Race,Big Ten,Big 12,SEC,Pac-12,ACC,FBS Indep.,Mountain West,American,MAC,CUSA,Sun Belt
Preseason,91.0,88.0,49.0,64.0,99.0,,,,,,
Week 2,96.0,87.0,48.0,74.0,113.0,,,,,,
Week 3,89.0,76.0,54.0,69.0,110.5,,,,,,
Week 4,80.5,74.5,44.5,75.0,119.0,,,,,,
Week 5,60.0,67.0,47.0,76.0,129.0,,,,,,
Week 6,58.0,70.0,49.0,81.0,,,,,,,
Week 7,57.0,71.0,46.0,88.0,,,,,,,
Week 8,70.0,67.0,65.5,94.0,92.0,,,,,,
Week 9,63.0,,66.0,107.0,92.0,,,,,,
Week 10,59.0,,65.0,104.0,106.5,,,,,,
Week 11,62.0,,71.0,93.5,,,,,,,
Week 12,51.0,,80.0,102.0,,,,,,,
Week 13,46.0,75.0,82.0,99.0,,,,,,,
Week 14,47.0,78.5,85.0,100.0,,,,121.0,,,
Week 15,45.0,,85.0,98.5,,,,126.5,,,
Week 16,,,,,,,,,,,
Final,52.0,,74.0,98.0,,,,,,,
