"('Big Ten', 91)","('Big 12', 88)","('SEC', 49)","('Pac-12', 64)","('ACC', 99)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('American', 'DNS')","('MAC', 'DNS')","('CUSA', 'DNS')"
"('OSU', 1)","('TCU', 2)","('Alabama', 3)","('Oregon', 7)","('FSU', 10)","('Notre Dame', 11)","('Boise State', 23)","('Cincinnati', 33)","('N Illinois', 40.0)","('W Kentucky', 43.0)"
"('Michigan State', 5)","('Baylor', 4)","('Auburn', 6)","('USC', 8)","('Clemson', 12)","('BYU', 40.0)",,,,
"('Wisconsin', 20)","('Oklahoma', 19)","('Georgia', 9)","('UCLA', 13)","('Georgia Tech', 16)",,,,,
"('Penn State', 31)","('Oklahoma State', 28)","('LSU', 14)","('Arizona State', 15)","('VT', 29)",,,,,
"('Nebraska', 34)","('Kansas State', 35)","('Ole Miss', 17)","('Stanford', 21)","('Louisville', 32)",,,,,
"('Michigan', 40.0)","('Texas', 38)","('Arkansas', 18)","('Arizona', 22)","('NC State', 36.5)",,,,,
,"('West Virginia', 43.0)","('Missouri', 24)","('Utah', 30)",,,,,,
,,"('Tennessee', 25)","('Cal', 43.0)",,,,,,
,,"('Miss St', 26)",,,,,,,
,,"('Texas A&M', 27)",,,,,,,
,,"('Florida', 36.5)",,,,,,,
