"('Big Ten', 80.5)","('SEC', 44.5)","('Big 12', 74.5)","('FBS Indep.', 'DNS')","('Pac-12', 75)","('ACC', 119)","('MAC', 'DNS')","('American', 'DNS')","('Mountain West', 'DNS')"
"('OSU', 1)","('Ole Miss', 3.5)","('TCU', 3.5)","('Notre Dame', 6)","('UCLA', 9)","('FSU', 10)","('Toledo', 30)","('Houston', 32)","('Boise State', 36)"
"('Michigan State', 2)","('Georgia', 7)","('Baylor', 5)","('BYU', 22.5)","('Oregon', 13)","('Clemson', 11)",,"('Temple', 34.0)",
"('Northwestern', 17)","('LSU', 8)","('Oklahoma', 15)",,"('Arizona', 16)","('Georgia Tech', 20)",,"('Memphis', 44)",
"('Wisconsin', 22.5)","('Alabama', 12)","('Oklahoma State', 24)",,"('Utah', 18)","('Miami', 37)",,,
"('Iowa', 38)","('Texas A&M', 14)","('West Virginia', 27)",,"('USC', 19)","('NC State', 41)",,,
"('Minnesota', 42.5)","('Missouri', 25)","('Texas Tech', 34.0)",,"('Stanford', 21)","('VT', 42.5)",,,
,"('Miss St', 26)","('Kansas State', 39)",,"('Cal', 29)",,,,
,"('Tennessee', 28)",,,"('Arizona State', 31)",,,,
,"('Auburn', 34.0)",,,,,,,
,"('Florida', 40)",,,,,,,
