AP_XC_5_Team_Race,SEC,ACC,Big 12,Big Ten,Pac-12,FBS Indep.,American,Mountain West,CUSA,MAC,MVFC,Sun Belt
Preseason,44.0,73.0,96.0,74.0,82.0,,,,,,,
Week 2,66.0,74.0,85.0,47.0,95.0,,,,,,,
Week 3,68.0,73.0,104.5,41.0,92.5,,,,,,,
Week 4,54.0,71.5,120.0,45.0,98.5,,,,,,,
Week 5,57.0,64.0,112.0,46.0,92.0,,,,,,,
Week 6,48.0,60.0,120.0,63.0,92.0,,,,,,,
Week 7,46.0,57.0,115.0,62.0,118.0,,,,,,,
Week 8,57.0,73.0,104.5,56.0,111.0,,,,,,,
Week 9,57.0,66.0,,50.0,101.0,,,,,,,
Week 10,44.0,68.0,,45.0,93.0,,,,,,,
Week 11,60.0,61.0,,48.0,82.0,,,,,,,
Week 12,79.0,80.0,,40.0,65.0,,,,,,,
Week 13,76.0,86.0,,35.0,71.0,,,,,,,
Week 14,85.0,74.5,,43.0,68.0,,139.5,,,,,
Week 15,87.0,68.0,,42.0,67.0,,,,,,,
Week 16,,,,,,,,,,,,
Final,75.0,66.0,,60.0,59.0,,170.5,,,,,
