AP_XC_4_Team_Race,SEC,Big Ten,ACC,Pac-12,Big 12,American,FBS Indep.,Mountain West,Sun Belt,CUSA,MAC
Preseason,41.0,28.0,42.0,50.0,59.0,,,,,,
Week 2,41.0,23.0,46.0,47.0,58.0,,,,,,
Week 3,41.0,30.0,44.0,50.0,49.0,,,,,,
Week 4,44.0,31.0,41.0,53.0,51.0,,,,,,
Week 5,42.0,33.0,45.0,47.0,50.0,,,,,,
Week 6,39.5,30.0,48.0,51.0,49.0,107.5,,,,,
Week 7,45.5,36.0,48.0,49.0,56.0,100.0,,,,,
Week 8,49.0,31.0,45.5,60.0,46.0,96.0,,,,,
Week 9,46.0,29.0,42.0,68.0,47.0,,,,,,
Week 10,38.0,38.0,48.0,70.0,43.0,,,,,,
Week 11,31.0,46.0,55.0,72.0,48.0,,,,,,
Week 12,31.0,45.0,57.0,63.0,48.0,,,,,,
Week 13,30.0,46.0,59.0,60.0,58.0,,,,,,
Week 14,32.0,39.0,56.0,59.0,66.0,,,,,,
Week 15,30.0,38.0,60.0,56.0,66.5,,,,,,
Week 16,,,,,,,,,,,
Final,31.0,35.0,64.0,74.0,54.0,,,,,,
