"('SEC', 41)","('Big Ten', 23)","('ACC', 46)","('Big 12', 58)","('Pac-12', 47)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')"
"('Alabama', 1)","('OSU', 2)","('Clemson', 3)","('Oklahoma', 5)","('USC', 6)","('USF', 21)","('Notre Dame', 24)","('Boise State', 33)"
"('LSU', 12)","('Penn State', 4)","('FSU', 10)","('Oklahoma State', 11)","('Washington', 7)","('Houston', 35)",,"('San Diego State', 36)"
"('Auburn', 13)","('Michigan', 8)","('Miami', 16)","('Kansas State', 19)","('Stanford', 14)","('Navy', 43.5)",,
"('Georgia', 15)","('Wisconsin', 9)","('Louisville', 17)","('TCU', 23)","('Washington St', 20)",,,
"('Florida', 22)","('Maryland', 30)","('VT', 18)","('West Virginia', 28)","('Utah', 26)",,,
"('Tennessee', 25)","('Northwestern', 34)","('Pitt', 43.5)","('Texas Tech', 37.5)","('UCLA', 27)",,,
"('South Carolina', 31.5)","('Iowa', 39)",,,"('Colorado', 29)",,,
"('Kentucky', 37.5)","('Nebraska', 43.5)",,,"('Oregon', 31.5)",,,
"('Miss St', 43.5)","('Michigan State', 43.5)",,,"('Cal', 40)",,,
"('Vanderbilt', 43.5)",,,,,,,
