AP_XC_5_Team_Race,SEC,ACC,Big Ten,Pac-12,Big 12,FBS Indep.,American,Mountain West,CUSA,Sun Belt,MAC
Preseason,56.0,81.0,44.0,86.0,92.0,,,,,,
Week 2,40.0,97.0,58.0,85.0,101.0,,,,,,
Week 3,39.0,98.0,65.0,84.0,,,,,,,
Week 4,32.0,88.0,75.5,96.5,82.0,,,,,,
Week 5,35.0,104.0,63.0,87.0,91.0,,,,,,
Week 6,29.0,96.0,65.0,95.0,93.0,,,,,,
Week 7,48.0,,64.0,98.0,,,,,,,
Week 8,39.0,123.0,68.0,105.5,,,,,,,
Week 9,33.0,122.5,71.0,95.0,,,,,,,
Week 10,35.0,112.0,73.0,121.0,99.0,,,,,,
Week 11,45.0,92.0,85.0,,92.0,,,,,,
Week 12,51.0,98.0,82.0,119.5,,,,,,,
Week 13,44.5,,81.5,,,,,,,,
Week 14,44.5,,80.0,102.5,,,,,,,
Week 15,44.0,,84.5,105.5,,,,,,,
Week 16,,,,,,,,,,,
Final,35.0,,80.0,112.0,101.0,,,,,,
