"('SEC', 35)","('ACC', 104)","('Big Ten', 63)","('Big 12', 91)","('Pac-12', 87)","('FBS Indep.', 'DNS')","('American', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')","('MAC', 'DNS')"
"('Alabama', 1)","('Clemson', 3)","('Ohio State', 4)","('Oklahoma', 6)","('Stanford', 7)","('Notre Dame', 8)","('UCF', 13)","('Boise State', 27)","('North Texas', 38.5)","('Buffalo', 43.5)"
"('Georgia', 2)","('Miami', 16)","('Penn State', 9)","('West Virginia', 12)","('Washington', 11)","('BYU', 20)","('USF', 29)","('San Diego State', 45)",,
"('LSU', 5)","('Duke', 22)","('Michigan', 14)","('Texas', 18)","('Oregon', 19)",,"('Cincinnati', 38.5)",,,
"('Auburn', 10)","('VT', 28)","('Wisconsin', 15)","('Texas Tech', 25)","('Cal', 24)",,,,,
"('Kentucky', 17)","('NC State', 35)","('Mich. St.', 21)","('Oklahoma State', 30)","('Colorado', 26)",,,,,
"('Miss St', 23)","('Syracuse', 36)","('Iowa', 32.5)","('TCU', 37)","('Utah', 40)",,,,,
"('Texas A&M', 31)",,"('Maryland', 43.5)",,"('Arizona State', 46)",,,,,
"('S Carolina', 32.5)",,,,,,,,,
"('Florida', 34)",,,,,,,,,
"('Ole Miss', 41.5)",,,,,,,,,
"('Missouri', 41.5)",,,,,,,,,
