AP_XC_5_Team_Race,ACC,SEC,Big 12,Big Ten,FBS Indep.,Pac-12,American,Mountain West,Sun Belt,CUSA,MVFC
Preseason,120.0,31.0,109.5,64.0,,86.0,,,,,
Week 2,120.0,32.0,99.5,63.0,,88.0,,,,,
Week 3,131.0,26.0,105.0,61.0,,93.0,,,,,
Week 4,,26.0,95.0,62.0,,90.0,,,,,
Week 5,,25.0,99.0,59.0,,85.0,,,,,
Week 6,,26.0,107.0,57.0,,92.0,,,,,
Week 7,,28.5,,54.5,,106.0,133.0,,,,
Week 8,,33.0,,53.0,,97.0,126.0,,,,
Week 9,,29.0,,58.0,,111.5,125.5,,,,
Week 10,,28.0,105.5,53.0,,,111.0,,,,
Week 11,,31.0,97.0,51.0,,,110.0,,,,
Week 12,133.5,34.0,96.0,47.0,,,113.0,,,,
Week 13,,36.0,105.0,48.0,,,,,,,
Week 14,,34.0,,46.0,,,,,,,
Week 15,,32.0,100.0,56.0,,107.0,115.5,,,,
Week 16,,31.0,97.0,59.0,,107.0,117.0,,,,
Final,,33.0,,48.0,,111.0,115.0,,,,
