AP_XC_4_Team_Race,ACC,Big Ten,SEC,Big 12,Pac-12,American,Mountain West,Sun Belt,CUSA,FBS Indep.,MAC
Preseason,56.0,37.0,21.0,57.0,77.0,107.5,,,,,
Week 2,,,,,,,,,,,
Week 3,37.0,,17.0,49.0,,75.0,,,,,
Week 4,31.0,,17.0,52.5,,72.0,,127.5,,,
Week 5,26.0,58.0,16.0,74.0,118.0,82.0,,,,,
Week 6,21.0,51.0,22.0,82.0,117.5,89.5,,,,,
Week 7,23.0,50.0,26.0,77.0,111.0,84.0,,,,,
Week 8,29.5,45.5,23.0,70.0,112.5,79.0,,,,,
Week 9,32.0,42.0,25.0,69.0,103.5,83.0,,,,,
Week 10,44.0,49.0,22.0,72.0,100.5,,,,,,
Week 11,41.0,49.0,24.0,70.0,90.0,,,,,,
Week 12,44.0,41.0,25.0,71.0,88.0,95.5,,,,,
Week 13,41.0,44.0,25.0,70.0,,,,,,,
Week 14,41.0,47.0,23.0,72.0,91.0,97.5,,,,,
Week 15,35.0,45.0,24.0,75.0,106.0,,,,,,
Week 16,41.0,43.0,27.0,67.0,,,,,,,
Final,48.0,40.0,25.0,54.0,,,,,,,
