"('ACC', 31)","('SEC', 17)","('Big 12', 52.5)","('American', 72)","('FBS Indep.', 'DNS')","('Sun Belt', 127.5)","('CUSA', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('Oklahoma', 3)","('UCF', 13)","('BYU', 18)","('Louisiana', 19)","('Marshall', 25)"
"('Notre Dame', 7)","('Georgia', 4)","('Texas', 8.5)","('Cincinnati', 14)","('Army', 22)","('Arkansas St', 32)","('UAB', 34.5)"
"('North Carolina', 11)","('Florida', 5)","('Oklahoma St', 15)","('Memphis', 17)",,"('Appalachian St', 37)","('UTSA', 38)"
"('Miami', 12)","('LSU', 6)","('Baylor', 26)","('SMU', 28)",,"('Troy', 39.5)",
"('Virginia Tech', 20)","('Auburn', 8.5)","('West Virginia', 27)",,,"('Coastal Car', 39.5)",
"('Pitt', 21)","('Texas A&M', 10)","('TCU', 29.5)",,,,
"('Louisville', 24)","('Tennessee', 16)","('Texas Tech', 34.5)",,,,
"('Virginia', 29.5)","('Kentucky', 23)",,,,,
"('Boston College', 31)","('Mississippi St', 33)",,,,,
,"('Ole Miss', 36)",,,,,
