"('ACC', 21)","('SEC', 22)","('Big Ten', 51)","('Big 12', 82)","('American', 89.5)","('Pac-12', 117.5)","('FBS Indep.', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')","('Mountain West', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('Ohio State', 6)","('Oklahoma St', 10)","('Cincinnati', 11)","('Oregon', 12)","('BYU', 15)","('Louisiana', 23)","('Marshall', 31)","('Air Force', 47.5)"
"('Notre Dame', 5)","('Georgia', 3)","('Penn State', 9)","('Texas', 22)","('SMU', 18)","('USC', 27)","('Army', 40)","('Coastal Car', 35)","('UAB', 39)",
"('Miami', 7)","('Florida', 4)","('Wisconsin', 16)","('Iowa State', 24)","('UCF', 28.5)","('Utah', 33)",,,,
"('North Carolina', 8)","('Auburn', 13)","('Michigan', 20)","('Kansas St', 26)","('Tulsa', 32)","('Arizona St', 45.5)",,,,
"('Virginia Tech', 19)","('Tennessee', 14)","('Minnesota', 25)","('TCU', 30)","('Memphis', 42)","('Washington', 47.5)",,,,
"('NC State', 37.5)","('LSU', 17)","('Iowa', 34)","('Oklahoma', 36)",,,,,,
"('Pitt', 44)","('Texas A&M', 21)","('Indiana', 49)","('West Virginia', 41)",,,,,,
"('Virginia', 45.5)","('Mississippi St', 28.5)",,,,,,,,
,"('Ole Miss', 37.5)",,,,,,,,
,"('Arkansas', 43)",,,,,,,,
