"('ACC', 55)","('SEC', 25)","('Big 12', 76)","('American', 110)","('Sun Belt', 'DNS')","('FBS Indep.', 'DNS')","('CUSA', 'DNS')","('Mountain West', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('Oklahoma', 3)","('Cincinnati', 13)","('Louisiana', 19)","('BYU', 21)","('UAB', 38)","('Air Force', 41.0)"
"('Notre Dame', 7)","('Georgia', 4)","('Texas', 9)","('UCF', 14)","('Appalachian St', 23.5)","('Army', 22)","('Marshall', 41.0)",
"('North Carolina', 12)","('Florida', 5)","('Oklahoma St', 11)","('Memphis', 16)","('Arkansas St', 31)",,,
"('Miami', 17)","('LSU', 6)","('Baylor', 26)","('SMU', 32)",,,,
"('Louisville', 18)","('Auburn', 8)","('West Virginia', 27)","('South Florida', 35)",,,,
"('Virginia Tech', 20)","('Texas A&M', 10)","('TCU', 29)","('Houston', 43)",,,,
"('Pitt', 25)","('Tennessee', 15)","('Iowa State', 33.5)",,,,,
"('Georgia Tech', 28)","('Kentucky', 23.5)","('Texas Tech', 36.5)",,,,,
"('Virginia', 30)","('Mississippi St', 33.5)",,,,,,
"('Florida St', 41.0)","('Ole Miss', 36.5)",,,,,,
,"('Missouri', 39)",,,,,,
