AP_XC_5_Team_Race,SEC,Big 12,ACC,Big Ten,American,FBS Indep.,Pac-12,Sun Belt,Mountain West,MAC,CUSA
Preseason,41.0,84.0,97.0,70.0,,,95.0,,,,
Week 2,41.0,86.0,98.0,73.0,,,86.0,,,,
Week 3,38.0,112.0,104.5,67.0,,,106.0,,,,
Week 4,34.0,98.0,135.0,58.0,,,133.0,,,,
Week 5,33.0,104.0,136.0,51.0,,,,,,,
Week 6,49.0,104.0,133.0,34.0,,,130.5,,,,
Week 7,47.0,100.0,,33.0,,,,,,,
Week 8,49.0,97.0,122.0,38.0,,,,,,,
Week 9,40.0,90.0,,48.0,,,,,,,
Week 10,44.0,,,61.0,,,,,,,
Week 11,43.0,,,62.0,,,,,,,
Week 12,50.0,,,57.0,,,,,,,
Week 13,51.0,,,55.0,,,,,,,
Week 14,60.0,,,61.0,,,,,,,
Week 15,57.0,,,64.0,,,,,,,
Week 16,,,,,,,,,,,
Final,53.0,,,68.0,,,,,,,
