"('SEC', 29)","('Big Ten', 43)","('ACC', 50)","('FBS Indep.', 'DNS')","('Pac-12', 76.5)","('Big 12', 58)","('American', 'DNS')","('Mountain West', 157.0)","('Sun Belt', 'DNS')"
"('Alabama', 1)","('Ohio State', 2)","('Clemson', 4)","('Notre Dame', 5)","('Utah', 7)","('Oklahoma', 9)","('Cincinnati', 23)","('Fresno St', 31)","('Appalachian St', 41.5)"
"('Georgia', 3)","('Michigan', 8)","('NC State', 13)","('BYU', 25)","('Oregon', 11)","('Baylor', 10)","('Houston', 24)","('Boise St', 40)",
"('Texas A&M', 6)","('Michigan St', 15)","('Miami', 16)",,"('USC', 14)","('Oklahoma St', 12)","('UCF', 33)","('Air Force', 41.5)",
"('Arkansas', 19)","('Wisconsin', 18)","('Pitt', 17)",,"('UCLA', 44.5)","('Texas', 27)",,"('Utah State', 44.5)",
"('Kentucky', 20)","('Iowa', 28)","('Wake Forest', 22)",,,"('Kansas St', 37.5)",,"('San Diego St', 44.5)",
"('Ole Miss', 21)","('Penn State', 29)","('North Carolina', 39)",,,,,,
"('Tennessee', 26)","('Minnesota', 32)",,,,,,,
"('LSU', 30)","('Purdue', 34)",,,,,,,
"('Mississippi St', 35.5)","('Nebraska', 47)",,,,,,,
"('Auburn', 35.5)",,,,,,,,
"('Florida', 37.5)",,,,,,,,
"('South Carolina', 44.5)",,,,,,,,
