"('SEC', 21)","('Big Ten', 40)","('ACC', 55)","('Big 12', 55)","('FBS Indep.', 'DNS')","('Pac-12', 87)","('American', 'DNS')","('Mountain West', 'DNS')"
"('Alabama', 1)","('Ohio State', 3)","('Clemson', 5)","('Oklahoma', 7)","('Notre Dame', 8)","('USC', 10)","('Houston', 25)","('Fresno St', 32.0)"
"('Georgia', 2)","('Michigan', 4)","('Miami', 15)","('Baylor', 9)","('BYU', 21)","('Utah', 13)","('Cincinnati', 29)","('Air Force', 37)"
"('Texas A&M', 6)","('Michigan St', 14)","('Pitt', 17)","('Oklahoma St', 11)",,"('Oregon', 26)","('UCF', 32.0)",
"('Florida', 12)","('Wisconsin', 19)","('NC State', 18)","('Texas', 28)",,"('Oregon St', 38)",,
"('Arkansas', 16)","('Penn State', 27)","('Wake Forest', 23)","('Kansas St', 34)",,"('UCLA', 42.0)",,
"('Kentucky', 20)","('Minnesota', 32.0)","('Florida St', 30)",,,"('Arizona', 42.0)",,
"('Ole Miss', 22)","('Purdue', 42.0)","('North Carolina', 39)",,,,,
"('Tennessee', 24)",,,,,,,
"('Auburn', 35)",,,,,,,
"('Mississippi St', 36)",,,,,,,
"('South Carolina', 40)",,,,,,,
