"('SEC', 22)","('Big Ten', 40)","('ACC', 53)","('Big 12', 52)","('Pac-12', 78.5)","('FBS Indep.', 'DNS')","('Sun Belt', 'DNS')","('American', 'DNS')","('Mountain West', 'DNS')"
"('Georgia', 1)","('Ohio State', 3)","('Clemson', 5)","('Oklahoma', 6)","('USC', 7)","('BYU', 12)","('Marshall', 26)","('Cincinnati', 27.5)","('Air Force', 37)"
"('Alabama', 2)","('Michigan', 4)","('Miami', 13)","('Oklahoma St', 8)","('Utah', 14)","('Notre Dame', 36)","('Appalachian St', 27.5)",,
"('Kentucky', 9)","('Michigan St', 11)","('NC State', 16)","('Baylor', 17)","('Oregon', 25)",,,,
"('Arkansas', 10)","('Penn State', 22)","('Wake Forest', 19)","('Texas', 21)","('Oregon St', 32.5)",,,,
"('Tennessee', 15)","('Minnesota', 34)","('Pitt', 23)","('Kansas St', 29)","('Washington St', 35)",,,,
"('Florida', 18)","('Wisconsin', 39)","('North Carolina', 30)","('Texas Tech', 38)",,,,,
"('Ole Miss', 20)","('Purdue', 42)","('Florida St', 32.5)","('Iowa State', 40.5)",,,,,
"('Texas A&M', 24)",,,,,,,,
"('Mississippi St', 31)",,,,,,,,
"('Auburn', 40.5)",,,,,,,,
