AP_XC_5_Team_Race,SEC,Big Ten,ACC,FBS Indep.,Pac-12,Big 12,American,Mountain West,Sun Belt,CUSA,MAC
Preseason,49.0,71.0,72.0,,,95.5,,201.5,,,
Week 2,37.0,67.0,78.0,,129.0,89.0,,,,,
Week 3,37.0,74.0,76.0,,113.5,81.0,,,,,
Week 4,32.0,80.0,87.0,,83.0,88.0,,,,,
Week 5,32.0,,84.0,,75.0,94.0,,,,,
Week 6,33.0,83.0,84.0,,68.0,90.0,,,,,
Week 7,35.0,74.0,77.0,,86.0,79.5,,,,,
Week 8,36.0,66.0,77.0,,77.5,86.0,,,,,
Week 9,43.0,66.0,76.5,,72.5,,,,,,
Week 10,35.5,64.5,85.0,,63.0,97.0,,,,,
Week 11,34.0,,98.0,,60.0,106.0,,,,,
Week 12,34.0,81.0,98.0,,60.0,,,,,,
Week 13,44.0,77.5,,,58.0,,,,,,
Week 14,45.0,78.0,110.0,,56.0,,,,,,
Week 15,48.0,79.5,109.0,,59.0,,,,,,
Week 16,,,,,,,,,,,
Final,48.0,78.0,104.0,,62.0,,,,,,
