"('SEC', 33)","('Big Ten', 83)","('ACC', 84)","('Pac-12', 68)","('Big 12', 90)","('FBS Indep.', 'DNS')","('American', 'DNS')","('Sun Belt', 'DNS')"
"('Alabama', 1)","('Ohio State', 3)","('Clemson', 5)","('USC', 6)","('Oklahoma St', 7)","('BYU', 16)","('Cincinnati', 24)","('James Madison', 30)"
"('Georgia', 2)","('Michigan', 4)","('NC State', 14)","('Utah', 11)","('TCU', 17)",,"('Tulane', 35)","('Coastal Car', 33)"
"('Tennessee', 8)","('Penn State', 10)","('Wake Forest', 15)","('Oregon', 12)","('Kansas', 19)",,,
"('Ole Miss', 9)","('Maryland', 32)","('Syracuse', 22)","('UCLA', 18)","('Kansas St', 20)",,,
"('Kentucky', 13)","('Minnesota', 34)","('Florida St', 28)","('Washington', 21)","('Baylor', 27)",,,
"('Mississippi St', 23)","('Illinois', 36)","('North Carolina', 37)","('Washington St', 26)","('Oklahoma', 39.5)",,,
"('LSU', 25)","('Purdue', 39.5)",,,,,,
"('Arkansas', 29)",,,,,,,
"('Florida', 31)",,,,,,,
"('Texas A&M', 38)",,,,,,,
