AP_XC_4_Team_Race,SEC,Big Ten,Pac-12,ACC,Big 12,FBS Indep.,American,Mountain West,Sun Belt,MAC,CUSA
Preseason,22,31,45,70,64,,,,174,,
Week 2,27,33,39,67,73,,,,,,
Week 3,36,40,38,66,66.5,,,,,,
Week 4,41,39,34,59,76,,,,,,
Week 5,46,43,34,55,67,,,,,,
Week 6,48,38,37,55,75.5,,,,,,
Week 7,44.5,39.5,40,47,68,,,,,,
Week 8,42,36,40,51,84,,,,,,
Week 9,37,48.5,37,59,72,,,,,,
Week 10,33,47,45,76,64,,,,,,
Week 11,33,46,36,73,58,,,,,,
Week 12,33,43,37,68,68,,,,,,
Week 13,31,36,41,71,60,,,,,,
Week 14,29,36,43.5,67.5,66,,,,,,
Week 15,31,38,45,65,66,,,,,,
Week 16,,,,,,,,,,,
Final,26,48,45.5,66.5,52,,,,,,
