"('SEC', 44)","('Big Ten', 56)","('Pac-12', 63)","('ACC', 105.0)","('Big 12', 90)","('FBS Indep.', 'DNS')","('American', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')","('MAC', 'DNS')","('CUSA', 'DNS')"
"('Georgia', 1)","('Michigan', 2)","('USC', 6)","('Florida St', 8)","('Texas', 11)","('Notre Dame', 13)","('Tulane', 24)","('Boise St', 31)","('Troy', 35.0)","('Toledo', 40.5)","('Liberty', 47.5)"
"('Alabama', 4)","('Ohio State', 3)","('Washington', 10)","('Clemson', 9)","('Kansas St', 16)",,"('UTSA', 29)",,"('Coastal Car', 44.0)",,
"('LSU', 5)","('Penn State', 7)","('Utah', 14)","('North Carolina', 21)","('TCU', 17)",,,,"('James Madison', 47.5)",,
"('Tennessee', 12)","('Wisconsin', 19)","('Oregon', 15)","('Pitt', 32)","('Oklahoma', 20)",,,,"('South Alabama', 47.5)",,
"('Ole Miss', 22)","('Iowa', 25)","('Oregon St', 18)","('Louisville', 35.0)","('Texas Tech', 26)",,,,,,
"('Texas A&M', 23)","('Minnesota', 38)","('UCLA', 28)","('Duke', 40.5)","('Kansas', 35.0)",,,,,,
"('South Carolina', 27)","('Illinois', 44.0)",,"('NC State', 47.5)","('Baylor', 44.0)",,,,,,
"('Arkansas', 30)",,,,,,,,,,
"('Kentucky', 33)",,,,,,,,,,
"('Auburn', 37)",,,,,,,,,,
"('Mississippi St', 40.5)",,,,,,,,,,
"('Florida', 40.5)",,,,,,,,,,
