"('SEC', 47)","('Big Ten', 59)","('ACC', 98)","('Pac-12', 55)","('FBS Indep.', 'DNS')","('Big 12', 113.5)","('American', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')"
"('Georgia', 1)","('Michigan', 2)","('Florida St', 4)","('USC', 6)","('Notre Dame', 10)","('Texas', 11)","('Tulane', 24)","('Wyoming', 37.0)","('Troy', 37.0)"
"('Alabama', 3)","('Ohio State', 5)","('North Carolina', 17)","('Washington', 8)",,"('Kansas St', 15)",,"('Fresno St', 37.0)","('Texas St', 40.5)"
"('Tennessee', 9)","('Penn State', 7)","('Duke', 21)","('Utah', 12)",,"('Oklahoma', 18)",,,"('James Madison', 45.0)"
"('LSU', 14)","('Wisconsin', 19)","('Clemson', 25)","('Oregon', 13)",,"('TCU', 29)",,,
"('Ole Miss', 20)","('Iowa', 26)","('Pitt', 31)","('Oregon St', 16)",,"('Iowa State', 40.5)",,,
"('Texas A&M', 23)","('Minnesota', 37.0)","('Miami', 33.5)","('Colorado', 22)",,"('Texas Tech', 45.0)",,,
"('Arkansas', 28)","('Illinois', 45.0)","('NC State', 33.5)","('UCLA', 27)",,"('UCF', 45.0)",,,
"('Kentucky', 30)",,"('Louisville', 45.0)","('Washington St', 45.0)",,"('Houston', 45.0)",,,
"('Mississippi St', 32)",,,,,,,,
"('Auburn', 37.0)",,,,,,,,
