"('Big Ten', 20)","('SEC', 24)","('FBS Indep.', 'DNS')","('ACC', 63)","('Mountain West', 'DNS')","('Big 12', 65)","('American', 'DNS')","('Sun Belt', 'DNS')"
"('Oregon', 1)","('Texas', 2)","('Notre Dame', 4)","('SMU', 8)","('Boise St', 10)","('Arizona St', 12)","('Army', 24)","('Louisiana', 32)"
"('Penn State', 3)","('Georgia', 5)",,"('Miami', 14)","('UNLV', 19)","('Iowa State', 16)","('Memphis', 25)",
"('Ohio State', 7)","('Tennessee', 6)",,"('Clemson', 18)",,"('BYU', 17)","('Tulane', 30)",
"('Indiana', 9)","('Alabama', 11)",,"('Syracuse', 23)",,"('Colorado', 20)",,
"('Illinois', 21)","('South Carolina', 13)",,"('Louisville', 27)",,"('Kansas St', 29)",,
"('Michigan', 34.5)","('Ole Miss', 15)",,"('Duke', 28)",,"('Baylor', 34.5)",,
,"('Missouri', 22)",,,,,,
,"('Texas A&M', 26)",,,,,,
,"('LSU', 31)",,,,,,
,"('Florida', 33)",,,,,,
