"('Big Ten', 21)","('SEC', 24)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('Big 12', 65)","('ACC', 62)","('American', 'DNS')","('Sun Belt', 'DNS')","('MAC', 'DNS')"
"('Oregon', 1)","('Georgia', 2)","('Notre Dame', 3)","('Boise St', 8)","('Arizona St', 10)","('SMU', 12)","('Army', 19)","('Marshall', 30.5)","('Ohio', 34.0)"
"('Penn State', 5)","('Texas', 4)",,"('UNLV', 24)","('BYU', 17)","('Clemson', 13)","('Memphis', 25)","('Louisiana', 36)",
"('Ohio State', 6)","('Tennessee', 7)",,,"('Iowa State', 18)","('Miami', 15)","('Tulane', 34.0)",,
"('Indiana', 9)","('Alabama', 11)",,,"('Colorado', 20)","('Syracuse', 22)",,,
"('Illinois', 21)","('South Carolina', 14)",,,"('Kansas St', 29)","('Louisville', 27)",,,
,"('Ole Miss', 16)",,,"('Baylor', 34.0)","('Duke', 28)",,,
,"('Missouri', 23)",,,,,,,
,"('Texas A&M', 26)",,,,,,,
,"('LSU', 30.5)",,,,,,,
,"('Florida', 32)",,,,,,,
