"('SEC', 12)","('Big Ten', 31)","('ACC', 75)","('Big 12', 59)","('FBS Indep.', 'DNS')","('MAC', 'DNS')","('Mountain West', 'DNS')","('American', 'DNS')","('CUSA', 'DNS')"
"('Georgia', 1)","('Ohio State', 3)","('Miami', 10)","('Utah', 12)","('Notre Dame', 18)","('N Illinois', 25)","('Boise St', 27)","('Memphis', 30)","('Liberty', 36.5)"
"('Texas', 2)","('Penn State', 8)","('Louisville', 19)","('Oklahoma St', 13)",,,"('UNLV', 38.5)",,
"('Alabama', 4)","('Oregon', 9)","('Clemson', 22)","('Kansas St', 14)",,,,,
"('Ole Miss', 5)","('USC', 11)","('Boston College', 24)","('Arizona', 20)",,,,,
"('Missouri', 6)","('Michigan', 17)","('Syracuse', 29)","('Iowa State', 21)",,,,,
"('Tennessee', 7)","('Nebraska', 23)","('North Carolina', 38.5)","('Kansas', 33)",,,,,
"('Oklahoma', 15)","('Illinois', 26)","('California', 40)","('BYU', 41)",,,,,
"('LSU', 16)","('Washington', 31)",,"('TCU', 42.5)",,,,,
"('Texas A&M', 28)","('Iowa', 32)",,"('UCF', 42.5)",,,,,
"('Vanderbilt', 34)","('Wisconsin', 36.5)",,,,,,,
"('South Carolina', 35)",,,,,,,,
