"('SEC', 12)","('Big Ten', 33)","('ACC', 75.5)","('Big 12', 59)","('FBS Indep.', 'DNS')","('MAC', 'DNS')","('American', 'DNS')","('Mountain West', 'DNS')","('Pac-12', 'DNS')","('CUSA', 'DNS')"
"('Texas', 1)","('Ohio State', 3)","('Miami', 8)","('Utah', 12)","('Notre Dame', 17)","('N Illinois', 23)","('Memphis', 26)","('Boise St', 27.5)","('Washington St', 31)","('Liberty', 36)"
"('Georgia', 2)","('Oregon', 9)","('Louisville', 19)","('Kansas St', 13)",,"('Toledo', 37)",,"('UNLV', 29)",,
"('Alabama', 4)","('Penn State', 10)","('Clemson', 21)","('Oklahoma St', 14)",,,,,,
"('Ole Miss', 5)","('USC', 11)","('Syracuse', 27.5)","('Iowa State', 20)",,,,,,
"('Tennessee', 6)","('Michigan', 18)","('Boston College', 30)","('Arizona', 32.5)",,,,,,
"('Missouri', 7)","('Nebraska', 22)","('California', 35)","('UCF', 38)",,,,,,
"('Oklahoma', 15)","('Illinois', 24)","('North Carolina', 40.0)","('Arizona St', 40.0)",,,,,,
"('LSU', 16)","('Iowa', 32.5)","('Pitt', 43)","('BYU', 42)",,,,,,
"('Texas A&M', 25)","('Indiana', 34)",,,,,,,,
"('South Carolina', 40.0)",,,,,,,,,
