"('SEC', 12)","('Big Ten', 32)","('ACC', 67)","('Big 12', 70)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('Pac-12', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')","('American', 'DNS')"
"('Texas', 1)","('Ohio State', 3)","('Miami', 7)","('Utah', 10)","('Notre Dame', 16)","('Boise St', 25)","('Washington St', 26)","('James Madison', 33)","('Liberty', 35)","('Navy', 40)"
"('Georgia', 2)","('Oregon', 8)","('Louisville', 15)","('Iowa State', 18)",,"('UNLV', 29)",,,,
"('Alabama', 4)","('Penn State', 9)","('Clemson', 17)","('Oklahoma St', 20)",,,,,,
"('Tennessee', 5)","('Michigan', 12)","('Boston College', 28)","('BYU', 22)",,,,,,
"('Ole Miss', 6)","('USC', 13)","('Pitt', 30)","('Kansas St', 23)",,,,,,
"('Missouri', 11)","('Illinois', 19)","('SMU', 38.5)","('UCF', 36.5)",,,,,,
"('LSU', 14)","('Indiana', 27)",,"('Arizona', 38.5)",,,,,,
"('Oklahoma', 21)","('Nebraska', 31)",,,,,,,,
"('Texas A&M', 24)","('Iowa', 32)",,,,,,,,
"('South Carolina', 34)",,,,,,,,,
"('Arkansas', 36.5)",,,,,,,,,
