"('SEC', 21)","('Big Ten', 25)","('ACC', 57)","('Big 12', 67)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('American', 'DNS')","('Pac-12', 'DNS')","('CUSA', 'DNS')"
"('Texas', 1)","('Oregon', 2)","('Miami', 6)","('Iowa State', 9)","('Notre Dame', 12)","('Boise St', 15)","('Army', 23)","('Washington St', 30)","('Liberty', 38)"
"('Georgia', 5)","('Penn State', 3)","('Clemson', 10)","('BYU', 13)",,"('UNLV', 39)","('Navy', 25)",,
"('Alabama', 7)","('Ohio State', 4)","('Pitt', 20)","('Kansas St', 17)",,,,,
"('LSU', 8)","('Indiana', 16)","('SMU', 21)","('Arizona St', 28)",,,,,
"('Tennessee', 11)","('Illinois', 22)","('Syracuse', 33.5)","('Texas Tech', 32)",,,,,
"('Texas A&M', 14)","('Michigan', 24)","('Louisville', 36)","('Utah', 35)",,,,,
"('Ole Miss', 18)","('Nebraska', 27)",,,,,,,
"('Missouri', 19)","('Iowa', 31)",,,,,,,
"('Vanderbilt', 26)","('USC', 37)",,,,,,,
"('Oklahoma', 29)",,,,,,,,
"('Arkansas', 33.5)",,,,,,,,
