AP_XC_5_Team_Race,SEC,Big Ten,FBS Indep.,ACC,Big 12,Mountain West,CUSA,American,Sun Belt,MAC,Pac-12,Patriot
Preseason,27.0,45.0,,93.0,90.0,,,,,,,
Week 2,23.0,40.0,,106.0,83.0,,,,,,,
Week 3,18.0,48.0,,104.0,80.0,,,,,,,
Week 4,18.0,51.0,,105.5,91.5,,,,,,,
Week 5,18.0,45.0,,97.0,93.0,,,,,,,
Week 6,21.0,37.0,,103.0,98.0,,,,,,,
Week 7,30.0,51.0,,98.0,94.5,,,,,,,
Week 8,32.0,47.0,,90.5,99.0,,,,,,,
Week 9,36.0,41.0,,83.0,,,,,,,,
Week 10,39.0,45.0,,84.5,,,,,,,,
Week 11,39.0,49.0,,84.0,101.0,,,,,,,
Week 12,39.0,,,93.0,98.0,,,,,,,
Week 13,37.0,36.0,,100.0,101.0,,,,,,,
Week 14,44.0,39.0,,86.0,99.0,,,,,,,
Week 15,37.0,41.0,,90.0,94.0,,,,,,,
Week 16,,,,,,,,,,,,
Final,,,,,,,,,,,,
