"('SEC', 27)","('Big Ten', 45)","('FBS Indep.', 'DNS')","('ACC', 93)","('Big 12', 90)","('Mountain West', 'DNS')","('CUSA', 'DNS')","('American', 'DNS')","('Sun Belt', 'DNS')"
"('Georgia', 1)","('Ohio State', 2)","('Notre Dame', 7)","('Florida St', 10)","('Utah', 12)","('Boise St', 28)","('Liberty', 31)","('Memphis', 34.5)","('Appalachian St', 39)"
"('Texas', 4)","('Oregon', 3)",,"('Clemson', 14)","('Oklahoma St', 17)",,,"('UTSA', 37)",
"('Alabama', 5)","('Penn State', 8)",,"('Miami', 19)","('Kansas St', 18)",,,"('Tulane', 38)",
"('Ole Miss', 6)","('Michigan', 9)",,"('NC State', 24)","('Arizona', 21)",,,,
"('Missouri', 11)","('USC', 23)",,"('Louisville', 26)","('Kansas', 22)",,,,
"('LSU', 13)","('Iowa', 25)",,"('Virginia Tech', 27)","('Iowa State', 29.5)",,,,
"('Tennessee', 15)","('Washington', 32)",,"('SMU', 29.5)","('West Virginia', 33)",,,,
"('Oklahoma', 16)","('Nebraska', 34.5)",,,"('Colorado', 42)",,,,
"('Texas A&M', 20)","('Wisconsin', 36)",,,,,,,
"('Kentucky', 40)",,,,,,,,
"('Auburn', 41)",,,,,,,,
