"('Big Ten', 45)","('SEC', 39)","('ACC', 84.5)","('FBS Indep.', 'DNS')","('Big 12', 'DNS')","('Mountain West', 'DNS')","('American', 'DNS')","('Pac-12', 'DNS')","('Patriot', 'DNS')"
"('Oregon', 1)","('Georgia', 2)","('Miami', 5)","('Notre Dame', 8)","('BYU', 9)","('Boise St', 15)","('Army', 21)","('Washington St', 22)","('Lafayette', 33)"
"('Penn State', 3)","('Texas', 6)","('Clemson', 11.5)",,"('Iowa State', 11.5)","('UNLV', 31.5)","('Memphis', 27)",,
"('Ohio State', 4)","('Tennessee', 7)","('Pitt', 18)",,"('Kansas St', 17)",,"('Tulane', 28)",,
"('Indiana', 13)","('Texas A&M', 10)","('SMU', 20)",,"('Colorado', 23)",,"('Navy', 29)",,
"('Illinois', 24)","('Alabama', 14)","('Louisville', 30)",,,,,,
,"('LSU', 16)",,,,,,,
,"('Ole Miss', 19)",,,,,,,
,"('Missouri', 25)",,,,,,,
,"('Vanderbilt', 26)",,,,,,,
,"('Arkansas', 31.5)",,,,,,,
,"('South Carolina', 34)",,,,,,,
