"('Big Ten', 36)","('SEC', 37)","('FBS Indep.', 'DNS')","('ACC', 100)","('Mountain West', 'DNS')","('Big 12', 101)","('American', 'DNS')","('Pac-12', 'DNS')","('Sun Belt', 'DNS')"
"('Oregon', 1)","('Texas', 3)","('Notre Dame', 6)","('Miami', 11)","('Boise St', 12)","('BYU', 14)","('Army', 18)","('Washington St', 25)","('Louisiana', 33)"
"('Ohio State', 2)","('Alabama', 7)",,"('SMU', 13)","('UNLV', 23)","('Colorado', 16)","('Tulane', 20)",,"('James Madison', 36.0)"
"('Penn State', 4)","('Georgia', 8)",,"('Clemson', 17)","('Colorado St', 36.0)","('Arizona St', 21)","('Memphis', 27)",,
"('Indiana', 5)","('Ole Miss', 9)",,"('Syracuse', 29)",,"('Iowa State', 22)",,,
"('Illinois', 24)","('Tennessee', 10)",,"('Louisville', 30)",,"('Kansas St', 28)",,,
,"('Texas A&M', 15)",,"('Pitt', 31.5)",,,,,
,"('South Carolina', 19)",,"('Duke', 36.0)",,,,,
,"('Missouri', 26)",,"('Georgia Tech', 38)",,,,,
,"('LSU', 31.5)",,,,,,,
,"('Vanderbilt', 34)",,,,,,,
