"('SEC', 23)","('Big Ten', 40)","('FBS Indep.', 'DNS')","('Big 12', 83)","('ACC', 106)","('Mountain West', 'DNS')","('American', 'DNS')","('CUSA', 'DNS')","('Sun Belt', 'DNS')"
"('Georgia', 1)","('Ohio State', 2)","('Notre Dame', 5)","('Utah', 11)","('Miami', 12)","('Boise St', 28)","('Memphis', 30.5)","('Liberty', 34)","('App State', 40.5)"
"('Texas', 3)","('Oregon', 7)",,"('Oklahoma St', 16)","('Louisville', 22)","('UNLV', 45.5)","('Tulane', 38.5)",,
"('Alabama', 4)","('Penn State', 8)",,"('Kansas St', 17)","('Georgia Tech', 23)",,"('UTSA', 40.5)",,
"('Ole Miss', 6)","('Michigan', 10)",,"('Kansas', 19)","('NC State', 24)",,,,
"('Missouri', 9)","('USC', 13)",,"('Arizona', 20)","('Clemson', 25)",,,,
"('Tennessee', 14)","('Iowa', 21)",,"('Iowa State', 29)","('Boston College', 27)",,,,
"('Oklahoma', 15)","('Nebraska', 30.5)",,"('West Virginia', 43.0)","('SMU', 32)",,,,
"('LSU', 18)","('Washington', 33)",,"('Colorado', 45.5)","('North Carolina', 38.5)",,,,
"('Texas A&M', 26)","('Wisconsin', 36.0)",,,,,,,
"('Vanderbilt', 36.0)",,,,,,,,
"('Auburn', 36.0)",,,,,,,,
"('Kentucky', 43.0)",,,,,,,,
"('Arkansas', 43.0)",,,,,,,,
