"('SEC', 21)","('Big Ten', 37)","('ACC', 103)","('FBS Indep.', 'DNS')","('Big 12', 98)","('Mountain West', 'DNS')","('Sun Belt', 'DNS')","('American', 'DNS')"
"('Alabama', 1)","('Ohio State', 3)","('Miami', 8)","('Notre Dame', 14)","('Iowa State', 16)","('Boise St', 21)","('James Madison', 32)","('Navy', 36.5)"
"('Texas', 2)","('Oregon', 6)","('Clemson', 15)",,"('BYU', 17)","('UNLV', 25.5)",,"('Army', 39)"
"('Tennessee', 4)","('Penn State', 7)","('Louisville', 22)",,"('Utah', 18)",,,
"('Georgia', 5)","('Michigan', 10)","('Pitt', 28)",,"('Kansas St', 20)",,,
"('Missouri', 9)","('USC', 11)","('Boston College', 30)",,"('Arizona', 27)",,,
"('Ole Miss', 12)","('Indiana', 23)","('SMU', 38)",,"('Oklahoma St', 33.5)",,,
"('LSU', 13)","('Illinois', 24)",,,"('Colorado', 40)",,,
"('Oklahoma', 19)","('Nebraska', 29)",,,,,,
"('Texas A&M', 25.5)","('Iowa', 31)",,,,,,
"('South Carolina', 33.5)","('Rutgers', 35)",,,,,,
"('Kentucky', 36.5)",,,,,,,
