"('SEC', 30)","('Big Ten', 51.0)","('ACC', 98)","('Big 12', 94.5)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('American', 'DNS')","('Pac-12', 'DNS')"
"('Texas', 1)","('Ohio State', 2)","('Miami', 6)","('Iowa State', 11.5)","('Notre Dame', 11.5)","('Boise St', 17)","('Navy', 28)","('Washington St', 32.5)"
"('Georgia', 5)","('Oregon', 3)","('Clemson', 10)","('BYU', 14)",,,"('Army', 29)",
"('Alabama', 7)","('Penn State', 4)","('Pitt', 22)","('Utah', 16)",,,,
"('Tennessee', 8)","('Indiana', 19.0)","('SMU', 25)","('Kansas St', 19.0)",,,,
"('Ole Miss', 9)","('Illinois', 23)","('Syracuse', 35)","('Texas Tech', 34)",,,,
"('LSU', 13)","('Michigan', 24)","('Louisville', 36.5)","('Colorado', 38)",,,,
"('Texas A&M', 15)","('USC', 26)",,,,,,
"('Oklahoma', 19.0)","('Nebraska', 27)",,,,,,
"('Missouri', 21)","('Iowa', 32.5)",,,,,,
"('Vanderbilt', 30)","('Washington', 36.5)",,,,,,
"('Arkansas', 31)",,,,,,,
"('Kentucky', 39)",,,,,,,
