"('Big Ten', 41)","('SEC', 36)","('ACC', 83)","('Big 12', 'DNS')","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('American', 'DNS')","('Pac-12', 'DNS')","('CUSA', 'DNS')"
"('Oregon', 1)","('Georgia', 2)","('Miami', 6)","('Iowa State', 10)","('Notre Dame', 12)","('Boise St', 17)","('Army', 23)","('Washington St', 26)","('Liberty', 31.0)"
"('Penn State', 3)","('Texas', 5)","('Clemson', 9)","('BYU', 11)",,"('UNLV', 28)","('Navy', 24)",,
"('Ohio State', 4)","('Tennessee', 7)","('Pitt', 19)","('Kansas St', 16)",,,,,
"('Indiana', 13)","('LSU', 8)","('SMU', 22)",,,,,,
"('Illinois', 20)","('Texas A&M', 14)","('Syracuse', 27)",,,,,,
"('Nebraska', 31.0)","('Alabama', 15)","('Duke', 29)",,,,,,
,"('Ole Miss', 18)",,,,,,,
,"('Missouri', 21)",,,,,,,
,"('Vanderbilt', 25)",,,,,,,
,"('South Carolina', 31.0)",,,,,,,
