"('Big Ten', 35)","('FBS Indep.', 'DNS')","('SEC', 47)","('Big 12', 90)","('Mountain West', 'DNS')","('ACC', 92)","('American', 'DNS')","('Sun Belt', 'DNS')","('MAC', 'DNS')"
"('Ohio State', 1)","('Notre Dame', 2)","('Texas', 4)","('Arizona St', 7)","('Boise St', 8)","('SMU', 12)","('Army', 21)","('Marshall', 31.5)","('Ohio', 31.5)"
"('Oregon', 3)",,"('Georgia', 6)","('BYU', 13)","('UNLV', 23)","('Clemson', 14)","('Memphis', 24)",,
"('Penn State', 5)",,"('Tennessee', 9)","('Iowa State', 15)",,"('Miami', 18)","('Navy', 26)",,
"('Indiana', 10)",,"('Ole Miss', 11)","('Colorado', 25)",,"('Syracuse', 20)",,,
"('Illinois', 16)",,"('Alabama', 17)","('Kansas St', 30)",,"('Louisville', 28)",,,
"('Michigan', 29)",,"('South Carolina', 19)","('TCU', 34)",,,,,
,,"('Missouri', 22)",,,,,,
,,"('LSU', 27)",,,,,,
,,"('Florida', 33)",,,,,,
,,"('Texas A&M', 35)",,,,,,
