"('SEC', 23)","('Big Ten', 24)","('ACC', 59)","('FBS Indep.', 'DNS')","('Big 12', 73)","('Mountain West', 'DNS')","('American', 162.0)","('MAC', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')"
"('Texas', 1)","('Penn State', 2)","('Clemson', 4)","('Notre Dame', 6)","('Arizona St', 11)","('Boise St', 25)","('Tulane', 33.5)","('Toledo', 36)","('James Madison', 38.5)","('Liberty', 43.0)"
"('Georgia', 5)","('Ohio State', 3)","('Miami', 10)",,"('Kansas St', 17)","('UNLV', 35)","('Memphis', 38.5)",,"('Louisiana', 48.5)",
"('Alabama', 8)","('Oregon', 7)","('SMU', 16)",,"('Iowa State', 22)",,"('Navy', 43.0)",,,
"('LSU', 9)","('Illinois', 12)","('Louisville', 29)",,"('Texas Tech', 23)",,"('Army', 47)",,,
"('South Carolina', 13)","('Michigan', 14)","('Georgia Tech', 31)",,"('BYU', 26)",,,,,
"('Florida', 15)","('Indiana', 20)","('Florida St', 40)",,"('Utah', 27)",,,,,
"('Oklahoma', 18)","('USC', 30)","('Duke', 41)",,"('Baylor', 28)",,,,,
"('Texas A&M', 19)","('Nebraska', 33.5)","('Pitt', 46)",,"('TCU', 45)",,,,,
"('Ole Miss', 21)","('Iowa', 43.0)",,,"('Colorado', 48.5)",,,,,
"('Tennessee', 24)",,,,,,,,,
"('Missouri', 32)",,,,,,,,,
"('Auburn', 37)",,,,,,,,,
