"('Big Ten', 16)","('SEC', 27)","('ACC', 55)","('FBS Indep.', 'DNS')","('Big 12', 81)","('American', 135.5)","('Mountain West', 'DNS')"
"('Ohio State', 1)","('LSU', 3)","('Miami', 5)","('Notre Dame', 8)","('Iowa State', 14)","('South Florida', 18)","('UNLV', 38)"
"('Penn State', 2)","('Georgia', 6)","('Florida St', 10)",,"('Utah', 20)","('Tulane', 36)",
"('Oregon', 4)","('Texas', 7)","('Clemson', 12)",,"('Texas Tech', 21)","('Navy', 40)",
"('Illinois', 9)","('South Carolina', 11)","('Georgia Tech', 28)",,"('Arizona St', 26)","('Memphis', 41.5)",
"('Indiana', 22)","('Oklahoma', 13)","('Louisville', 33)",,"('BYU', 27)",,
"('Michigan', 23)","('Tennessee', 15)","('SMU', 34)",,"('TCU', 31)",,
"('USC', 30)","('Texas A&M', 16)","('Pitt', 39)",,"('Baylor', 37)",,
"('Nebraska', 35)","('Ole Miss', 17)",,,,,
,"('Alabama', 19)",,,,,
,"('Auburn', 24)",,,,,
,"('Missouri', 25)",,,,,
,"('Florida', 29)",,,,,
,"('Mississippi St', 32)",,,,,
,"('Vanderbilt', 41.5)",,,,,
